age_tuned;ISOBENd13cLOESSsmooth;ISOBENd18oLOESSsmooth
1.824;-0.544;3.864
1.826;-0.332;4.001
1.828;-0.188;4.133
1.830;-0.241;4.143
1.832;-0.345;4.139
1.834;-0.438;4.109
1.836;-0.519;4.101
1.838;-0.482;4.298
1.840;-0.444;4.498
1.842;-0.552;4.502
1.844;-0.645;4.434
1.846;-0.596;4.296
1.848;-0.499;4.148
1.850;-0.334;4.071
1.852;-0.187;4.014
1.854;-0.211;3.959
1.856;-0.269;3.937
1.858;-0.276;4.010
1.860;-0.272;4.097
1.862;-0.249;4.157
1.864;-0.209;4.185
1.866;-0.162;4.097
1.868;-0.087;4.023
1.870;-0.016;3.956
1.872;0.022;3.966
1.874;0.041;3.982
1.876;0.071;3.944
1.878;0.057;3.897
1.880;-0.126;3.856
1.882;-0.338;3.818
1.884;-0.503;3.797
1.886;-0.616;3.779
1.888;-0.544;3.739
1.890;-0.419;3.707
1.892;-0.352;3.700
1.894;-0.337;3.722
1.896;-0.409;3.812
1.898;-0.486;3.927
1.900;-0.541;4.041
1.902;-0.576;4.180
1.904;-0.597;4.307
1.906;-0.605;4.391
1.908;-0.626;4.429
1.910;-0.710;4.357
1.912;-0.774;4.259
1.914;-0.753;4.225
1.916;-0.701;4.204
1.918;-0.605;4.180
1.920;-0.498;4.154
1.922;-0.445;4.115
1.924;-0.411;4.068
1.926;-0.342;4.028
1.928;-0.293;3.985
1.930;-0.304;3.890
1.932;-0.361;3.793
1.934;-0.499;3.736
1.936;-0.698;3.756
1.938;-0.858;3.796
1.940;-0.862;3.810
1.942;-0.824;3.842
1.944;-0.700;3.917
1.946;-0.581;4.018
1.948;-0.652;4.196
1.950;-0.760;4.338
1.952;-0.823;4.295
1.954;-0.865;4.197
1.956;-0.861;4.081
1.958;-0.807;3.976
1.960;-0.679;3.981
1.962;-0.517;4.001
1.964;-0.276;3.983
1.966;-0.054;3.940
1.968;0.025;3.834
1.970;0.011;3.721
1.972;-0.131;3.625
1.974;-0.355;3.564
1.976;-0.658;3.599
1.978;-0.952;3.678
1.980;-1.181;3.772
1.982;-1.340;3.901
1.984;-1.302;4.115
1.986;-1.168;4.306
1.988;-0.987;4.400
1.990;-0.777;4.433
1.992;-0.569;4.324
1.994;-0.387;4.185
1.996;-0.287;4.143
1.998;-0.223;4.124
2.000;-0.186;4.109
2.002;-0.176;4.071
2.004;-0.211;4.025
2.006;-0.322;3.960
2.008;-0.450;3.910
2.010;-0.614;3.940
2.012;-0.714;3.964
2.014;-0.560;3.914
2.016;-0.344;3.838
2.018;-0.144;3.711
2.020;0.015;3.591
2.022;-0.033;3.545
2.024;-0.138;3.537
2.026;-0.202;3.568
2.028;-0.229;3.633
2.030;-0.141;3.735
2.032;-0.035;3.846
2.034;0.033;3.961
2.036;0.077;4.058
2.038;0.070;4.097
2.040;0.037;4.080
2.042;-0.041;3.952
2.044;-0.143;3.813
2.046;-0.271;3.746
2.048;-0.360;3.705
2.050;-0.290;3.700
2.052;-0.195;3.708
2.054;-0.130;3.676
2.056;-0.135;3.678
2.058;-0.373;3.805
2.060;-0.613;3.966
2.062;-0.660;4.127
2.064;-0.677;4.279
2.066;-0.668;4.380
2.068;-0.714;4.475
2.070;-0.778;4.537
2.072;-0.859;4.510
2.074;-0.901;4.451
2.076;-0.823;4.388
2.078;-0.735;4.325
2.080;-0.700;4.304
2.082;-0.687;4.289
2.084;-0.751;4.254
2.086;-0.781;4.189
2.088;-0.639;4.062
2.090;-0.472;3.935
2.092;-0.343;3.857
2.094;-0.248;3.785
2.096;-0.264;3.703
2.098;-0.306;3.633
2.100;-0.325;3.557
2.102;-0.351;3.525
2.104;-0.381;3.641
2.106;-0.408;3.779
2.108;-0.438;3.859
2.110;-0.454;3.907
2.112;-0.435;3.875
2.114;-0.409;3.818
2.116;-0.347;3.780
2.118;-0.308;3.756
2.120;-0.439;3.759
2.122;-0.588;3.787
2.124;-0.625;3.882
2.126;-0.615;3.975
2.128;-0.516;4.035
